driverStandingsId;raceId;driverId;points;position;positionText;wins
71395;1074;842;0;20;"""20""";0
71394;1074;830;0;19;"""19""";0
71393;1074;815;0;18;"""18""";0
71392;1074;807;0;17;"""17""";0
71391;1074;849;0;16;"""16""";0
71390;1074;846;0;15;"""15""";0
71389;1074;817;0;14;"""14""";0
71388;1074;848;0;13;"""13""";0
71387;1074;840;0;12;"""12""";0
71386;1074;854;0;11;"""11""";0
71385;1074;855;1;10;"""10""";0
71384;1074;4;2;9;"""9""";0
71383;1074;852;4;8;"""8""";0
71382;1074;839;6;7;"""7""";0
71381;1074;822;8;6;"""6""";0
71376;1074;844;26;1;"""1""";1
71377;1074;832;18;2;"""2""";0
71378;1074;1;15;3;"""3""";0
71379;1074;847;12;4;"""4""";0
71380;1074;825;10;5;"""5""";0
71272;1075;844;45;1;"""1""";1
71273;1075;832;33;2;"""2""";0
71274;1075;1;16;5;"""5""";0
71275;1075;847;22;4;"""4""";0
71276;1075;825;12;8;"""8""";0
71277;1075;822;8;9;"""9""";0
71278;1075;839;14;6;"""6""";0
71279;1075;852;4;11;"""11""";0
71280;1075;4;2;13;"""13""";0
71281;1075;855;1;14;"""14""";0
71282;1075;854;0;15;"""15""";0
71283;1075;840;0;16;"""16""";0
71284;1075;848;0;18;"""18""";0
71285;1075;817;0;19;"""19""";0
71286;1075;846;6;10;"""10""";0
71287;1075;849;0;20;"""20""";0
71288;1075;807;0;17;"""17""";0
71289;1075;815;12;7;"""7""";0
71290;1075;830;25;3;"""3""";1
71291;1075;842;4;12;"""12""";0
71292;1076;844;71;1;"""1""";2
71293;1076;832;33;3;"""3""";0
71294;1076;1;28;5;"""5""";0
71295;1076;847;37;2;"""2""";0
71296;1076;825;12;9;"""9""";0
71297;1076;822;12;10;"""10""";0
71298;1076;839;20;7;"""7""";0
71299;1076;852;4;13;"""13""";0
71300;1076;4;2;14;"""14""";0
71301;1076;855;1;15;"""15""";0
71302;1076;854;0;17;"""17""";0
71303;1076;840;0;18;"""18""";0
71304;1076;848;1;16;"""16""";0
71305;1076;817;8;11;"""11""";0
71306;1076;846;16;8;"""8""";0
71307;1076;849;0;20;"""20""";0
71308;1076;807;0;19;"""19""";0
71309;1076;815;30;4;"""4""";0
71310;1076;830;25;6;"""6""";1
71311;1076;842;6;12;"""12""";0
71312;1076;20;0;21;"""21""";0
71313;1077;844;86;1;"""1""";2
71314;1077;832;38;5;"""5""";0
71315;1077;1;28;7;"""7""";0
71316;1077;847;49;4;"""4""";0
71317;1077;825;15;10;"""10""";0
71318;1077;822;24;8;"""8""";0
71319;1077;839;20;9;"""9""";0
71320;1077;852;10;12;"""12""";0
71321;1077;4;2;15;"""15""";0
71322;1077;855;1;16;"""16""";0
