year;raceId;driverId;constructorId;grid;driverStandPos;driverPoints;constructorStandPos;constructorPoints;driverAvgCircuit;constructorAvgCircuit;driverForm;constructorForm;circuitId;round;podium
1958;765;475;87;7;1.000;8.000;1.000;8.000;8.000;11.000;4.000;15.600;25;1;1
1958;765;496;105;6;7.000;0.000;3.000;3.000;12.500;8.156;9.600;10.200;25;1;0
1958;765;501;105;8;6.000;0.000;3.000;3.000;6.500;8.130;9.400;11.200;25;1;0
1958;765;554;105;4;5.000;2.000;3.000;3.000;7.286;8.104;9.600;8.800;25;1;0
1958;765;577;6;5;2.000;6.000;2.000;6.000;9.200;6.576;4.800;7.400;25;1;1
1958;765;578;6;2;3.000;4.000;2.000;6.000;7.500;6.441;4.400;6.200;25;1;1
1958;765;579;105;1;4.000;4.000;3.000;3.000;4.667;8.041;3.800;7.600;25;1;0
1958;765;581;6;3;10.000;0.000;2.000;6.000;9.333;6.343;6.600;6.200;25;1;0
1958;766;356;87;3;7.000;3.000;1.000;16.000;6.000;15.333;11.400;13.200;6;2;0
1958;766;427;87;5;3.000;8.000;1.000;16.000;8.500;12.500;10.600;9.400;6;2;1
1958;766;456;87;4;17.000;0.000;1.000;16.000;17.000;10.200;12.600;5.200;6;2;0
1958;766;475;118;8;2.000;8.000;6.000;0.000;8.333;12.000;1.800;8.000;6;2;0
1958;766;476;6;11;14.000;0.000;2.000;12.000;7.000;8.000;10.250;6.600;6;2;0
1958;766;479;118;1;19.000;0.000;6.000;0.000;9.500;12.000;8.600;7.600;6;2;0
1958;766;483;105;14;18.000;0.000;3.000;3.000;11.500;10.903;9.600;6.800;6;2;0
1958;766;501;66;12;8.000;2.000;4.000;2.000;12.800;14.750;7.400;12.800;6;2;0
1958;766;541;87;0;21.000;0.000;1.000;16.000;9.000;10.167;14.800;5.800;6;2;0
1958;766;541;66;0;21.000;0.000;4.000;2.000;13.000;12.800;14.200;12.000;6;2;0
1958;766;547;105;0;13.000;0.000;3.000;3.000;10.500;11.000;15.400;7.800;6;2;0
1958;766;554;66;2;9.000;2.000;4.000;2.000;5.333;15.167;9.400;14.400;6;2;0
1958;766;577;6;10;1.000;12.000;2.000;12.000;17.000;7.955;4.800;6.800;6;2;1
1958;766;578;6;6;4.000;5.000;2.000;12.000;14.250;7.696;3.600;4.800;6;2;0
1958;766;581;6;9;5.000;4.000;2.000;12.000;8.000;7.833;8.000;6.600;6;2;1
1958;766;586;127;0;29.000;0.000;8.000;0.000;20.000;20.000;14.000;19.000;6;2;0
1958;766;589;105;0;32.000;0.000;3.000;3.000;9.000;13.333;13.400;20.000;6;2;0
1958;766;590;118;7;20.000;0.000;6.000;0.000;4.000;12.429;10.800;9.600;6;2;0
1958;767;427;87;8;3.000;8.000;1.000;19.000;8.000;9.667;7.800;8.000;39;3;0
1958;767;456;87;9;10.000;3.000;1.000;19.000;18.000;9.500;11.200;9.000;39;3;0
1958;767;547;105;0;14.000;0.000;5.000;3.000;14.000;10.222;16.800;19.400;39;3;0
1958;767;554;66;4;6.000;6.000;4.000;8.000;11.000;2.000;10.000;12.400;39;3;1
1958;767;577;6;12;2.000;12.000;2.000;14.000;3.000;6.077;4.800;6.600;39;3;0
1958;767;578;6;6;5.000;7.000;2.000;14.000;5.000;6.143;5.000;6.000;39;3;0
1958;767;581;6;10;7.000;4.000;2.000;14.000;8.000;6.067;6.400;5.600;39;3;0
1958;769;427;105;16;5.000;8.000;5.000;3.000;5.750;8.967;6.200;14.800;13;5;0
1958;769;475;118;9;1.000;17.000;3.000;16.000;8.200;8.667;3.200;12.400;13;5;0
1958;769;554;66;10;9.000;6.000;4.000;10.000;11.667;5.000;9.400;10.000;13;5;0
1958;769;577;6;2;3.000;12.000;1.000;20.000;7.000;7.156;5.400;7.200;13;5;0
1958;769;578;6;1;2.000;14.000;1.000;20.000;6.500;7.364;5.400;9.400;13;5;1
1958;769;580;105;18;23.000;0.000;5.000;3.000;15.000;9.182;15.200;12.400;13;5;0
1958;769;581;6;4;10.000;4.000;1.000;20.000;13.333;7.206;8.600;8.400;13;5;0
1958;770;456;87;14;18.000;3.000;3.000;19.000;20.000;13.500;10.600;7.800;55;6;0
1958;770;475;118;6;1.000;23.000;2.000;22.000;13.333;14.750;6.600;10.400;55;6;1
1958;770;479;118;10;6.000;8.000;2.000;22.000;18.000;13.167;11.600;8.400;55;6;0
1958;770;501;66;3;4.000;10.000;4.000;10.000;16.200;17.000;4.600;8.600;55;6;0
1958;770;554;66;9;11.000;6.000;4.000;10.000;6.333;14.500;10.200;10.600;55;6;0
1958;770;578;6;1;2.000;23.000;1.000;28.000;10.000;8.042;5.400;10.600;55;6;1
1958;770;579;105;8;8.000;7.000;5.000;6.000;3.333;11.778;4.400;11.200;55;6;0
1958;770;580;105;11;26.000;0.000;5.000;6.000;7.000;11.568;13.600;9.800;55;6;0
1958;770;581;6;4;10.000;6.000;1.000;28.000;7.000;7.760;11.000;8.000;55;6;0
1958;771;356;87;10;17.000;3.000;3.000;23.000;20.000;18.000;7.400;8.200;9;7;0
1958;771;427;87;12;6.000;8.000;3.000;23.000;17.250;17.333;7.600;8.600;9;7;0
1958;771;456;87;3;9.000;7.000;3.000;23.000;15.750;16.650;9.200;8.800;9;7;1
1958;771;475;118;1;2.000;23.000;2.000;25.000;17.667;20.000;6.800;10.200;9;7;0
1958;771;479;118;9;7.000;8.000;2.000;25.000;19.000;19.200;13.000;12.400;9;7;0
1958;771;486;125;19;54.000;0.000;8.000;0.000;10.500;14.000;13.800;16.800;9;7;0
1958;771;501;66;2;5.000;12.000;4.000;12.000;16.750;15.600;6.000;12.600;9;7;0
1958;771;554;66;8;13.000;6.000;4.000;12.000;14.000;13.833;10.000;12.600;9;7;0
1958;771;578;6;4;1.000;30.000;1.000;36.000;7.500;9.345;4.400;7.600;9;7;1
1958;771;581;6;6;3.000;14.000;1.000;36.000;16.800;9.100;9.600;7.400;9;7;1
1958;772;356;87;19;17.000;3.000;3.000;29.000;20.000;16.333;7.200;8.200;20;8;0
1958;772;427;87;7;6.000;12.000;3.000;29.000;17.250;16.000;8.400;10.600;20;8;1
1958;772;430;95;15;40.000;0.000;7.000;0.000;14.000;14.333;12.500;13.500;20;8;0
1958;772;431;95;13;21.000;0.000;7.000;0.000;16.000;15.500;16.000;14.600;20;8;0
1958;772;455;87;17;46.000;0.000;3.000;29.000;16.000;14.308;16.500;8.400;20;8;0
1958;772;456;87;6;5.000;13.000;3.000;29.000;20.000;14.286;7.200;10.600;20;8;1
1958;772;459;87;14;31.000;0.000;3.000;29.000;15.000;13.467;15.000;6.200;20;8;0
1958;772;475;118;3;2.000;24.000;2.000;33.000;8.000;11.333;9.400;10.600;20;8;0
1958;772;478;105;20;59.000;0.000;5.000;6.000;13.333;13.450;14.600;13.200;20;8;0
1958;772;479;118;2;3.000;16.000;2.000;33.000;9.000;13.750;11.400;12.000;20;8;1
1958;772;484;87;25;66.000;0.000;3.000;29.000;13.000;13.125;13.000;6.800;20;8;0
1958;772;554;66;9;14.000;6.000;4.000;12.000;9.600;15.000;12.200;12.200;20;8;0
1958;772;578;6;1;1.000;30.000;1.000;37.000;6.000;8.231;4.200;5.200;20;8;0
1958;772;581;6;4;4.000;14.000;1.000;37.000;8.000;8.325;7.800;5.600;20;8;0
1958;772;601;87;18;64.000;0.000;3.000;29.000;20.000;13.833;20.000;12.600;20;8;0
1958;774;347;66;10;31.000;0.000;4.000;15.000;18.500;20.000;13.400;11.800;14;10;0
1958;774;418;105;11;22.000;0.000;5.000;6.000;4.000;12.492;10.200;15.600;14;10;0
1958;774;427;87;13;6.000;12.000;3.000;31.000;12.571;15.500;8.600;13.400;14;10;0
1958;774;456;87;14;4.000;15.000;3.000;31.000;18.000;15.222;6.600;11.600;14;10;0
1958;774;475;118;1;2.000;32.000;1.000;46.000;9.167;12.778;11.200;7.400;14;10;0
1958;774;476;6;6;10.000;9.000;2.000;40.000;14.000;10.593;5.800;7.000;14;10;0
1958;774;478;105;18;47.000;0.000;5.000;6.000;4.000;12.359;16.200;11.200;14;10;0
1958;774;479;118;2;3.000;24.000;1.000;46.000;7.000;12.900;10.200;6.000;14;10;1
1958;774;501;66;9;8.000;12.000;4.000;15.000;12.400;19.333;8.600;11.600;14;10;0
1958;774;554;66;8;11.000;9.000;4.000;15.000;14.000;19.500;13.400;12.600;14;10;0
1958;774;566;105;11;21.000;0.000;5.000;6.000;18.000;12.309;14.250;10.000;14;10;0
1958;774;578;6;3;1.000;40.000;2.000;40.000;8.200;10.839;3.800;9.000;14;10;1
1958;774;583;105;19;35.000;0.000;5.000;6.000;10.000;12.188;10.800;10.000;14;10;0
1958;774;590;118;4;9.000;11.000;1.000;46.000;13.000;11.818;7.400;6.000;14;10;0
1959;756;289;32;14;12.000;0.000;5.000;0.000;9.000;7.500;14.000;10.200;6;1;0
1959;756;347;66;7;10.000;0.000;4.000;0.000;8.000;14.857;13.800;13.000;6;1;0
1959;756;418;170;11;13.000;0.000;1.000;8.000;3.000;8.667;9.800;8.667;6;1;0
1959;756;427;170;6;3.000;4.000;1.000;8.000;7.000;9.750;11.400;9.750;6;1;1
1959;756;475;170;1;7.000;0.000;1.000;8.000;9.250;8.400;10.200;8.400;6;1;0
1959;756;477;6;15;15.000;0.000;2.000;6.000;6.000;7.500;11.000;6.400;6;1;0
1959;756;479;6;4;2.000;6.000;2.000;6.000;11.333;7.778;8.000;9.000;6;1;1
1959;756;483;105;0;18.000;0.000;7.000;0.000;12.333;13.750;9.400;9.600;6;1;0
1959;756;501;66;9;9.000;0.000;4.000;0.000;11.500;14.250;10.200;13.000;6;1;0
1959;756;541;66;10;8.000;0.000;4.000;0.000;17.667;13.667;18.400;14.000;6;1;0
1959;756;549;170;0;17.000;0.000;1.000;8.000;11.000;8.167;11.750;9.600;6;1;0
1959;756;551;95;0;21.000;0.000;6.000;0.000;20.000;14.000;13.750;13.400;6;1;0
1959;756;553;105;0;24.000;0.000;7.000;0.000;20.000;13.854;20.000;12.400;6;1;0
