year;raceId;driverId;constructorId;grid;driverStandPos;driverPoints;constructorStandPos;constructorPoints;driverAvgCircuit;constructorAvgCircuit;driverForm;constructorForm;circuitId;round;podium
2000;158;21;22;9;5.000;2.000;4.000;2.000;11.000;9.000;14.000;12.800;1;1;0
2000;158;22;6;4;2.000;6.000;1.000;16.000;13.250;8.500;6.000;4.400;1;1;1
2000;158;23;3;11;3.000;4.000;2.000;4.000;13.333;7.667;6.600;13.000;1;1;1
2000;158;25;22;14;7.000;0.000;4.000;2.000;9.000;8.556;14.400;9.600;1;1;0
2000;158;30;6;3;1.000;10.000;1.000;16.000;10.000;7.778;9.200;2.000;1;1;1
2000;158;35;16;8;4.000;3.000;3.000;4.000;11.250;14.000;10.800;12.000;1;1;0
2000;158;41;16;16;6.000;1.000;3.000;4.000;9.000;10.667;15.000;11.200;1;1;0
2000;158;48;18;18;8.000;0.000;5.000;0.000;13.000;13.000;14.200;13.800;1;1;0
2000;159;15;17;12;6.000;3.000;3.000;7.000;17.000;16.278;15.200;14.600;18;2;0
2000;159;21;22;5;2.000;8.000;2.000;8.000;9.667;8.450;12.800;8.800;18;2;1
2000;159;22;6;4;3.000;6.000;1.000;26.000;14.714;7.176;4.400;1.800;18;2;0
2000;159;23;3;11;4.000;6.000;4.000;7.000;15.000;8.821;6.200;9.400;18;2;0
2000;159;25;22;13;11.000;0.000;2.000;8.000;5.500;8.143;13.000;7.600;18;2;0
2000;159;30;6;3;1.000;20.000;1.000;26.000;2.625;7.400;6.400;4.600;18;2;1
2000;159;35;16;10;7.000;3.000;5.000;4.000;9.000;16.500;8.600;10.000;18;2;0
2000;159;37;21;16;12.000;0.000;6.000;0.000;10.000;13.417;14.600;16.800;18;2;0
2000;159;41;16;8;8.000;1.000;5.000;4.000;20.000;16.667;12.400;9.600;18;2;0
2000;159;48;18;18;13.000;0.000;7.000;0.000;9.000;15.300;12.600;14.000;18;2;0
2000;159;49;17;7;5.000;4.000;3.000;7.000;12.500;15.632;8.600;11.200;18;2;1
2000;159;50;21;14;10.000;0.000;6.000;0.000;18.000;13.000;15.600;14.800;18;2;0
2000;160;14;1;3;7.000;4.000;2.000;10.000;7.000;8.553;15.800;12.400;21;3;1
2000;160;15;17;8;9.000;3.000;4.000;7.000;19.333;13.889;12.800;11.000;21;3;0
2000;160;21;22;19;3.000;8.000;3.000;8.000;11.500;11.536;9.000;8.800;21;3;0
2000;160;22;6;4;2.000;9.000;1.000;39.000;16.143;9.875;6.600;4.400;21;3;0
2000;160;23;3;5;5.000;6.000;5.000;7.000;13.667;10.500;6.800;9.000;21;3;0
2000;160;25;22;11;13.000;0.000;3.000;8.000;19.500;11.517;13.200;9.000;21;3;0
2000;160;30;6;2;1.000;30.000;1.000;39.000;7.375;9.732;5.600;4.600;21;3;1
2000;160;35;16;9;6.000;5.000;6.000;6.000;12.250;14.000;10.400;9.600;21;3;0
2000;160;37;21;13;16.000;0.000;8.000;0.000;19.000;13.577;13.400;13.600;21;3;0
